geo_id,total,less_20,twenty_39,forty_59,sixty_99,hun_149,hunfifty_199,twohun_more,year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US01123,15278,0.16391245474349705,0.11310216427674655,0.13992108656358113,0.12411248860217225,0.07390198233991961,0.018936044170576503,0.02064971332628478,2017,AL,tallapoosa,tallapoosa_AL,0.166,6770,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.165,0.258,3621000,3.13,0.243,2110,0.79,0.21,35010,32.92,-85.93,29296,1286,4063,9151,6652,2812,3392,1940,40681,39704,977,40681,40223,458,15278,3826,2640,3266,2897,1725,442,482,40148,9287,9095,192,22876,19891,2985,7985,7985,0,null,null,null,null,null,null,null,null
0500000US01125,72243,0.025788212979021962,0.02402160830061657,0.026960839945599085,0.03229705906637894,0.019149075006489744,0.006277003174030458,0.003927917126606362,2017,AL,tuscaloosa,tuscaloosa_AL,0.164,33580,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.148,0.363,19213000,3.35,0.198,8500,0.67,0.33,35111,33.28,-87.12,128996,5691,12145,36618,24450,7992,24836,17264,207811,200018,7793,207811,203043,4768,72243,13459,12537,14071,16856,9994,3276,2050,206347,51296,50868,428,128745,115764,12981,26306,26212,94,207811,132278,66928,755,3522,115,1768,2445
0500000US01127,25231,0.09940255404966357,0.08550064818146633,0.06738889963227826,0.08641173353780016,0.038956753167377636,0.009644938082568494,0.009032311722275055,2017,AL,walker,walker_AL,0.146,9470,1.3,SNAP,1.85,Other Nutrition Program,0.617,0.117,0.266,4538000,2.81,0.245,3540,0.83,0.17,35038,33.6,-87.14,44837,2741,5233,16251,11485,3940,3273,1914,64058,62408,1650,64058,63495,563,25231,6328,5443,4290,5501,2480,614,575,63250,14421,14080,341,37123,31126,5997,11706,11660,46,64058,57806,3831,328,353,0,549,1191
0500000US01133,8978,0.3269048903036213,0.2906786178297475,0.16301822613243205,0.2260420152308152,0.06984723083147583,0.007195629463988629,0.030147206202573048,2017,AL,winston,winston_AL,0.131,3140,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.236,0.161,1588000,2.96,0.24,1210,0.97,0.03,35540,34.19,-87.17,17499,986,2750,6803,3618,1786,827,729,23722,23533,189,23722,23679,43,8978,2635,2343,1314,1822,563,58,243,23366,5051,4737,314,13609,10825,2784,4706,4706,0,null,null,null,null,null,null,null,null
0500000US02090,35046,0.017480551538936788,0.046546955355426925,0.05027592256773855,0.06642121073807468,0.06301791751810468,0.022121405929804966,0.01947530474202925,2017,AK,fairbanks north star,fairbanks north star_AK,0.125,12470,1.3,SNAP,1.85,Other Nutrition Program,0.355,0.188,0.457,7938000,3.73,0.163,3940,0.57,0.43,99701,64.81,-147.72,61914,1188,3081,14327,19171,5812,10300,8035,99703,91630,8073,99703,97536,2167,35046,2147,5717,6175,8158,7740,2717,2392,92530,25499,22898,2601,57536,49740,7796,9495,9495,0,99703,75282,4541,7512,2964,126,1084,8194
0500000US02122,21901,0.06961270802063341,0.08695855200780532,0.07173924177867612,0.09942587737358513,0.07201027059097567,0.028520570401984576,0.028332935070392574,2017,AK,kenai peninsula,kenai peninsula_AK,0.136,7880,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.14,0.372,5498000,4.09,0.196,2620,0.66,0.34,99556,59.82,-151.59,40884,825,2095,11751,10714,5064,7323,3112,58617,56177,2440,58617,58339,278,21901,3339,4171,3441,4769,3454,1368,1359,57470,14102,12919,1183,33517,26803,6714,9851,9851,0,58617,48458,222,4816,1161,109,645,3206
0500000US02170,29443,0.04782612337354829,0.05163283362759339,0.05097531094734923,0.0740347466983678,0.0697089395914984,0.026277836238529428,0.019183512583263583,2017,AK,matanuska-susitna,matanuska-susitna_AK,0.128,12900,1.3,SNAP,1.85,Other Nutrition Program,0.413,0.152,0.435,8412000,3.82,0.185,5100,0.53,0.47,99629,61.58,-149.44,67973,1948,3834,22888,18811,5627,9971,4894,106532,101309,5223,106532,105216,1316,29443,4146,4476,4419,6418,6043,2278,1663,104928,30363,26975,3388,62490,50589,11901,12075,11930,145,106532,88189,1540,6605,1522,206,328,8142
0500000US04001,20550,0.1728855500500234,0.10594301478205788,0.07279142320966606,0.08915410162146803,0.03741393906027078,0.007009193646734272,0.0014207824959596496,2017,AZ,apache,apache_AZ,0.242,17330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.838,NA,0.162,9109000,3.08,0.342,6950,0.94,0.06,85920,33.83,-109.19,44572,4187,5049,12861,13250,3826,3689,1710,71606,67126,4480,71606,71148,458,20550,7301,4474,3074,3765,1580,296,60,70927,21016,15524,5492,39212,27495,11717,10699,10402,297,71606,15987,262,54232,66,53,513,493
0500000US04003,48939,0.0356238345383515,0.0412145886929287,0.03840877331438062,0.05343575180752725,0.02366571661549183,0.005377812808883818,0.006609532357502392,2017,AZ,cochise,cochise_AZ,0.139,17580,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,NA,0.31,8677000,2.89,0.225,6300,0.73,0.27,85602,32.19,-110.38,86811,4019,6194,18420,27605,9124,12159,9290,124756,80359,44397,124756,118767,5989,48939,8532,9871,9199,12798,5668,1288,1583,116440,27909,26641,1268,61972,54122,7850,26559,26557,2,124756,107676,5042,1981,2258,473,3191,4135
0500000US04005,47977,0.040494527124255865,0.04067264917254408,0.031879502203389073,0.05275888181493006,0.02126169034933035,0.008806180289761467,0.012559776624420524,2017,AZ,coconino,coconino_AZ,0.18,24950,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.64,NA,0.36,13770000,3.23,0.233,6960,0.71,0.29,85931,34.42,-110.91,83432,2725,4614,19308,19749,5927,18089,13020,140776,120873,19903,140776,138104,2672,47977,9321,9362,7338,12144,4894,2027,2891,139899,35582,32766,2816,87797,76438,11359,16520,16399,121,140776,92468,1731,36364,3259,633,1235,5086
0500000US04007,22052,0.13308911617607233,0.11215513591228345,0.07960259096377872,0.07320723942935993,0.027205948810405393,0.019576767397963667,0.008636809146160442,2017,AZ,gila,gila_AZ,0.168,8950,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.763,NA,0.237,4725000,3.09,0.271,2940,0.82,0.19,85135,33,-110.78,39323,891,4514,10984,13256,2366,4228,3084,53501,43480,10021,53501,52207,1294,22052,6472,5454,3871,3560,1323,952,420,52760,11065,10029,1036,27108,23539,3569,14587,14515,72,53501,40540,320,8845,497,0,1071,2228
0500000US04009,10414,0.2297803524815854,0.16219247191617525,0.23236215419486164,0.19151436280266967,0.09856950112472503,0.045826980410653265,0,2017,AZ,graham,graham_AZ,0.147,5540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.67,NA,0.33,2781000,2.94,0.238,2460,0.74,0.26,85530,33.07,-110.25,23065,739,2327,5936,8619,1776,2682,986,37466,25184,12282,37466,37121,345,10414,2492,1759,2520,2077,1069,497,0,34045,10747,10582,165,18346,16655,1691,4952,4917,35,37466,29869,499,5280,227,101,420,1070
0500000US04013,1536579,8.327477867692084e-4,0.0011785013066549987,0.0010982073735381396,0.0015458720981215701,0.001011153807693434,4.0092753965123644e-4,4.405535570708659e-4,2017,AZ,maricopa,maricopa_AZ,0.137,571060,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.66,NA,0.34,300180000,3.08,0.204,210760,0.65,0.35,85001,33.45,-112.06,2864476,163215,192189,654144,682412,248706,589939,333871,4307033,2967459,1339574,4307033,3933417,373616,1536579,196618,278253,259295,364992,238741,94662,104018,4274932,1101082,1012544,88538,2541052,2189566,351486,632798,626625,6173,4307033,3342292,235421,87049,179761,10317,291906,160287
0500000US04015,87565,0.023592690086028514,0.02883681428923032,0.023926561211624054,0.021940288851147467,0.009567494442847164,0.0036165024659235534,0.0027205279999698993,2017,AZ,mohave,mohave_AZ,0.168,34330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.724,NA,0.276,17898000,3.06,0.247,9210,0.8,0.2,85360,34.79,-113.37,158780,6678,15146,56695,45217,13592,12739,8713,207200,173137,34063,207200,201457,5743,87565,18090,22111,18346,16823,7336,2773,2086,204245,38391,34142,4249,104676,87968,16708,61178,60825,353,207200,186157,2473,4806,2525,141,6030,5068
0500000US04017,36094,0.07439493650929482,0.059703241453703586,0.048465706677640066,0.051298118106852794,0.02639746044732407,0.012933911268898245,0.0038609836013387636,2017,AZ,navajo,navajo_AZ,0.209,22590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.785,NA,0.215,11322000,2.94,0.299,8910,0.83,0.17,85901,34.23,-110.07,70045,4266,7322,20102,21188,4504,7514,5149,108956,96673,12283,108956,106689,2267,36094,9692,7778,6314,6683,3439,1685,503,106301,31144,28082,3062,56974,45889,11085,18183,17942,241,108956,51477,1291,46635,638,1811,4424,2680
0500000US04019,403574,0.004605396398113451,0.005202798135953495,0.004232649640618393,0.005457538095901937,0.0031578790937643363,0.001023564683610625,0.0010987771326192634,2017,AZ,pima,pima_AZ,0.136,137450,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.719,NA,0.281,70894000,3.02,0.212,46370,0.7,0.3,85321,32.15,-112.62,684433,25216,46806,147813,171442,63475,133750,95931,1022769,641479,381290,1022769,963022,59747,403574,75009,84739,68938,88888,51433,16671,17896,999171,232858,219306,13552,572363,504003,68360,193950,193188,762,1022769,779589,35898,42875,29936,1639,80937,51895
0500000US04021,139097,0.012591498327348325,0.01402679062088113,0.014066071216598992,0.018244286161114377,0.008375553336946047,0.0028886743350935795,0.0016994026147410428,2017,AZ,pinal,pinal_AZ,0.133,54010,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.669,NA,0.331,26943000,2.92,0.213,20590,0.72,0.28,85117,33.42,-111.54,297571,15519,30359,93695,77481,22464,37732,20321,430237,300755,129482,430237,404515,25722,139097,24362,27139,27215,35299,16205,5589,3288,406159,104847,100061,4786,216196,189243,26953,85116,84314,802,430237,351332,17748,19642,7007,1160,12515,20833
0500000US04023,15591,0.1661186417611627,0.16632433596839544,0.14559035987933502,0.0791099921017127,0.05936334820736943,0.010737237617549151,0.014151761457612669,2017,AZ,santa cruz,santa cruz_AZ,0.096,4440,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",1,NA,0,1922000,2.54,0.241,3120,0.81,0.19,85611,31.57,-110.54,30388,3661,4013,8451,6728,1613,3975,1947,46212,7665,38547,46212,39548,6664,15591,4038,4043,3539,1923,1443,261,344,45872,13208,12910,298,24383,20587,3796,8281,8188,93,null,null,null,null,null,null,null,null
0500000US04025,98369,0.01678196337277309,0.022522699042195747,0.020543669553996936,0.023225435361765037,0.012691624618574194,0.0031819487175791823,0.002710702009162129,2017,AZ,yavapai,yavapai_AZ,0.149,32870,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.638,NA,0.362,17872000,3.19,0.213,8090,0.68,0.32,85324,34.13,-112.13,175929,5481,10765,45563,54302,18182,23564,18072,228168,194996,33172,228168,221697,6471,98369,16239,21794,19879,22474,12281,3079,2623,226407,39879,36783,3096,116777,98336,18441,69751,69751,0,228168,211172,1314,2698,2814,0,4182,5988
0500000US04027,74620,0.028381088680099607,0.028916275950027444,0.025173556921404553,0.030442816820626998,0.015042713331931547,0.0039690062635588256,0.0020868711666313824,2017,AZ,yuma,yuma_AZ,0.161,32820,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.822,NA,0.178,15144000,2.7,0.307,16260,0.78,0.22,85333,32.94,-113.34,131272,16895,19472,34893,31446,10798,10723,7045,207534,74829,132705,207534,175338,32196,74620,15803,16101,14017,16951,8376,2210,1162,201113,55270,51290,3980,108529,90803,17726,37314,36724,590,207534,168078,4767,3939,2718,125,22100,5807
0500000US05003,7511,0.3429931489467159,0.37543126070756805,0.22493969303017183,0.17583938178560315,0.14428755723133166,0.028715705493213423,0.03917389453086523,2017,AR,ashley,ashley_AR,0.194,4030,1.3,SNAP,1.85,Other Nutrition Program,0.595,0.196,0.209,2055000,2.99,0.263,1270,0.8,0.2,71635,33.12,-91.96,13916,243,2090,6948,1712,782,1507,634,20283,19145,1138,20283,19737,546,7511,1935,2118,1269,992,814,162,221,20151,5230,5179,51,10049,7924,2125,4872,4872,0,null,null,null,null,null,null,null,null
0500000US05005,17979,0.10515262039726772,0.14620514386510364,0.13540836112940297,0.07712429616074976,0.050457170893775716,0.030101059031050745,0.011755809282424751,2017,AR,baxter,baxter_AR,0.139,5720,1.3,SNAP,1.85,Other Nutrition Program,0.459,0.231,0.31,3022000,3.1,0.223,1610,0.78,0.22,72531,36.31,-92.09,31510,1140,2355,12456,6610,2531,4068,2350,41355,40380,975,41355,41135,220,17979,3399,4726,4377,2493,1631,973,380,41024,7438,7351,87,20796,18815,1981,12790,12790,0,41355,39747,91,19,91,0,740,667
0500000US05007,97134,0.010983555560519194,0.01714676848963423,0.019195520096165503,0.02644617179832818,0.013476397660137175,0.009109684458425405,0.006592465076370684,2017,AR,benton,benton_AR,0.111,27900,1.3,SNAP,1.85,Other Nutrition Program,0.443,0.18,0.377,14113000,2.96,0.189,12830,0.62,0.38,72711,36.39,-94.07,174196,8502,10316,50892,35033,10304,40418,18731,266300,221862,44438,266300,242859,23441,97134,10363,16178,18111,24952,12715,8595,6220,264760,72785,69056,3729,157992,137318,20674,33983,33963,20,266300,233638,5199,4850,10703,1486,4080,6344
0500000US05009,15040,0.14809797985513806,0.1585311509732911,0.15711648370303305,0.12877892994567677,0.05724981609325486,0.007603836577636939,0.007515419873245813,2017,AR,boone,boone_AR,0.146,5420,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.221,0.226,2391000,2.59,0.234,1980,0.84,0.16,72601,36.24,-93.11,25649,1421,2465,7560,7271,1718,3515,1699,37381,36458,923,37381,37268,113,15040,3350,3586,3554,2913,1295,172,170,36913,9588,9228,360,20156,18237,1919,7169,7169,0,37381,35861,0,599,538,0,12,371
0500000US05015,10434,0.23542194391178276,0.24626072244537245,0.1446701372068115,0.23496267363493578,0.05088714667464989,0.024800594949739112,0.021401994901071163,2017,AR,carroll,carroll_AR,0.123,3430,1.3,SNAP,1.85,Other Nutrition Program,0.593,0.151,0.256,1796000,3.07,0.216,1340,0.71,0.29,72611,36.29,-93.29,19560,744,1361,8226,3839,1592,2139,1659,27944,23665,4279,27944,25487,2457,10434,2563,2681,1575,2558,554,270,233,27729,6829,6320,509,14924,12776,2148,5976,5976,0,null,null,null,null,null,null,null,null
0500000US05019,8534,0.23383492182718688,0.35919680299466883,0.22655761656773832,0.22600838598211956,0.08856343193102498,0.011671149944398641,0.025951145170486387,2017,AR,clark,clark_AR,0.195,4390,1.3,SNAP,1.85,Other Nutrition Program,0.517,0.134,0.35,2297000,3.07,0.241,1040,0.71,0.29,71721,33.85,-93.19,13280,339,911,4459,3232,412,2478,1449,22293,21355,938,22293,21692,601,8534,1703,2616,1650,1646,645,85,189,21861,5894,5625,269,12586,11270,1316,3381,3381,0,22293,16158,4059,106,1284,0,375,311
0500000US05023,10516,0.1840192509998711,0.24532885894970533,0.1783223405266564,0.22968496193595705,0.06555968401715309,0.02206422468991083,0.02595259215575578,2017,AR,cleburne,cleburne_AR,0.149,3780,1.3,SNAP,1.85,Other Nutrition Program,0.497,0.146,0.357,2033000,3.15,0.243,1190,0.62,0.38,72044,35.64,-92.19,18540,780,1416,8749,3285,1453,1400,1457,25048,23873,1175,25048,24597,451,10516,2035,2713,1972,2540,725,244,287,24750,5514,4988,526,12898,11521,1377,6338,6338,0,null,null,null,null,null,null,null,null
0500000US05027,8400,0.37018140589569165,0.3099489795918367,0.1729024943310658,0.1873582766439909,0.12046485260770974,0.015873015873015876,0.01374716553287982,2017,AR,columbia,columbia_AR,0.221,5310,1.3,SNAP,1.85,Other Nutrition Program,0.581,0.104,0.315,2668000,2.94,0.263,1340,0.64,0.37,71740,33.09,-93.19,15013,559,1435,5452,2976,546,2355,1690,23627,23193,434,23627,23529,98,8400,2612,2187,1220,1322,850,112,97,23208,5289,5186,103,14365,13283,1082,3554,3554,0,null,null,null,null,null,null,null,null
0500000US05029,8209,0.29367385412773,0.3191978070888061,0.228676811122199,0.22303779825870546,0.05861605476526192,0.06499704300553094,0.029975805221728883,2017,AR,conway,conway_AR,0.171,3590,1.3,SNAP,1.85,Other Nutrition Program,0.541,0.19,0.269,1713000,2.8,0.251,1210,0.79,0.21,72027,35.4,-92.56,15121,745,1305,5606,3520,1088,2011,846,21178,20197,981,21178,21178,0,8209,1979,2151,1541,1503,395,438,202,21111,5549,5397,152,11335,10659,676,4227,4227,0,null,null,null,null,null,null,null,null
0500000US05031,42115,0.03933644541541749,0.05826890688954274,0.04433736659693895,0.04444448892213502,0.034250953977162275,0.008519043861644806,0.008287885159905936,2017,AR,craighead,craighead_AR,0.172,17980,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.129,0.332,8411000,2.74,0.226,5850,0.66,0.34,72401,35.82,-90.68,69331,2834,4653,23907,12279,6585,11697,7376,107115,101570,5545,107115,103038,4077,42115,6977,10335,7864,7883,6075,1511,1470,105951,27323,26047,1276,63979,59287,4692,14649,14649,0,107115,84250,13657,148,1533,37,2495,4995
0500000US05033,24778,0.07525051531780923,0.11898376934991262,0.05689395021755575,0.09930787703304822,0.036273354461636605,0.013877367759907673,0.002996990220449544,2017,AR,crawford,crawford_AR,0.138,8600,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.184,0.255,4350000,2.96,0.228,3540,0.79,0.21,72921,35.48,-94.22,42357,1549,4534,14231,9856,4970,5546,1671,62996,58035,4961,62996,61484,1512,24778,4620,7305,3493,6097,2227,852,184,62001,16213,15954,259,35824,31864,3960,9964,9964,0,62996,55574,741,1428,1246,0,2206,1801
0500000US05035,18607,0.14245259095022433,0.12939732511293695,0.08555242789833019,0.08457039462738378,0.06963771224269888,0.014990449047681754,0.010831249311908785,2017,AR,crittenden,crittenden_AR,0.238,11750,1.3,SNAP,1.85,Other Nutrition Program,0.621,0.175,0.203,5916000,2.95,0.261,3560,0.67,0.33,72301,35.14,-90.18,31545,2004,3839,10909,7048,2075,3799,1871,48750,47498,1252,48750,48014,736,18607,4932,4480,2962,2928,2411,519,375,48230,13823,13592,231,28068,24045,4023,6339,6318,21,48750,21112,21740,383,343,0,91,5081
