geo_id,total,less_9th,nineth_to_12th,hs_grad,some_coll,assoc_deg,bach_deg,grad_or_prof,year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US01081,96835,2.6756854443124904,5.6353591160221,25.34724015077193,23.42438168017762,9.511023906645324,17.955284762740746,15.451024939329788,2017,AL,lee,lee_AL,0.17,26560,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.095,0.329,15672000,3.46,0.207,7010,0.7,0.31,36801,32.65,-85.37,96835,2591,5457,24545,22683,9210,17387,14962,161604,155511,6093,161604,156613,4991,58555,11146,12195,8509,13624,8086,3029,1966,159847,39729,38374,1355,101581,91238,10343,18537,18537,0,161604,113361,35563,212,6452,0,502,5514
0500000US01083,65019,4.635568064719544,7.737738199603193,27.156677278949232,22.113536043310418,9.11425890893431,20.152570787000723,9.089650717482582,2017,AL,limestone,limestone_AL,0.122,11190,1.3,SNAP,1.85,Other Nutrition Program,0.484,0.139,0.377,5813000,3.04,0.196,4170,0.68,0.32,35611,34.78,-86.95,65019,3014,5031,17657,14378,5926,13103,5910,94402,88665,5737,94402,93307,1095,32816,5715,6343,5133,7336,5096,1707,1486,91288,22007,21856,151,55191,47648,7543,14090,14090,0,94402,76611,12971,901,1677,149,1167,926
0500000US01087,13595,4.641412283927915,11.320338359691062,29.510849577050386,31.6954762780434,4.67819051121736,12.122103714600957,6.031629275468922,2017,AL,macon,macon_AL,0.256,4950,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.197,0.227,2671000,3.16,0.254,890,0.73,0.27,36031,32.29,-85.73,13595,631,1539,4012,4309,636,1648,820,20652,20576,76,20652,20625,27,7901,2760,1862,1250,1112,480,228,209,20324,3214,3128,86,13730,12461,1269,3380,3380,0,null,null,null,null,null,null,null,null
0500000US01089,247593,2.72463276425424,6.093064020388299,20.58095341952317,21.238080236517188,8.034152823383536,25.030190675826862,16.29892606010671,2017,AL,madison,madison_AL,0.138,48830,1.3,SNAP,1.85,Other Nutrition Program,0.445,0.123,0.432,25710000,3.09,0.191,15080,0.6,0.4,35741,34.7,-86.46,247593,6746,15086,50957,52584,19892,61973,40355,361046,343318,17728,361046,351445,9601,147892,24624,26103,20616,30473,27027,9932,9117,355634,84796,80503,4293,218280,191209,27071,52558,52265,293,361046,244908,87843,2357,10285,0,4498,11155
0500000US01091,13445,6.746002231312756,17.054667162513944,32.71848270732614,18.356266269988843,6.924507251766456,12.1680922275939,6.031982149497955,2017,AL,marengo,marengo_AL,0.22,4330,1.3,SNAP,1.85,Other Nutrition Program,0.631,0.204,0.165,2185000,2.96,0.248,1120,0.84,0.16,36732,32.5,-87.83,13445,907,2293,4399,2468,931,1636,811,null,null,null,20409,20287,122,7108,2202,1671,1186,1228,606,158,57,20184,5346,5346,0,10244,9058,1186,4594,4594,0,null,null,null,null,null,null,null,null
0500000US01093,21524,6.434677569225052,11.04813231741312,34.33841293439881,22.788515145883665,7.196617729046646,9.236201449544694,8.957442854488013,2017,AL,marion,marion_AL,0.133,3990,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.186,0.245,2120000,3.11,0.223,1420,0.82,0.19,35543,34.26,-87.71,21524,1385,2378,7391,4905,1549,1988,1928,29833,29253,580,29833,29355,478,12008,3198,3161,2511,1743,919,326,150,29446,6740,6583,157,16763,14505,2258,5943,5943,0,null,null,null,null,null,null,null,null
0500000US01095,62672,7.895072759765126,11.253829461322441,29.56663262701047,22.916134797038552,8.544485575695687,12.841460301250956,6.9823844779167725,2017,AL,marshall,marshall_AL,0.122,11520,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.13,0.222,5696000,2.9,0.231,5450,0.82,0.18,35016,34.32,-86.5,62672,4948,7053,18530,14362,5355,8048,4376,95548,82249,13299,95548,89473,6075,34083,8714,8115,4940,6512,4179,560,1063,94754,24867,24181,686,54578,41393,13185,15309,15309,0,95548,88908,2140,670,687,149,1244,1750
0500000US01097,278255,3.3882589710876716,9.192287649817613,35.306104113133635,21.00267740022641,8.06310758117554,14.786436901403388,8.261127383155738,2017,AL,mobile,mobile_AL,0.179,74120,1.3,SNAP,1.85,Other Nutrition Program,0.531,0.159,0.31,40045000,3.17,0.23,22750,0.71,0.3,36505,30.92,-88.02,278255,9428,25578,98241,58441,22436,41144,22987,413955,402012,11943,413955,408051,5904,154683,37238,32040,25593,31531,18176,4833,5272,409996,103506,100113,3393,242471,202201,40270,64019,63406,613,413955,244012,147234,3410,7504,79,5038,6678
0500000US01099,17132,1.5293018911977585,10.2323137987392,55.772822787765584,13.02241419565725,6.9519028718188185,7.798272239084754,4.692972215736633,2017,AL,monroe,monroe_AL,0.241,5240,1.3,SNAP,1.85,Other Nutrition Program,0.68,0.141,0.179,2649000,2.96,0.279,1410,0.74,0.26,36425,31.73,-87.2,17132,262,1753,9555,2231,1191,1336,804,24363,24220,143,null,null,null,7728,3107,1920,1036,1029,250,296,90,24125,5617,5359,258,14074,11493,2581,4434,4265,169,null,null,null,null,null,null,null,null
0500000US01101,150542,4.426007360072272,9.554808624835594,26.490946048278886,19.76724103572425,7.045874241075581,19.533419245127607,13.181703444885812,2017,AL,montgomery,montgomery_AL,0.207,47040,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.149,0.297,25423000,3.17,0.224,12070,0.68,0.32,36013,32.3,-85.99,150542,6663,14384,39880,29758,10607,29406,19844,226646,218788,7858,226646,218946,7700,88554,20376,18849,14645,18724,9888,3109,2963,221441,56384,55276,1108,132942,112991,19951,32115,31963,152,226646,82146,131468,311,6747,51,2034,3889
0500000US01103,82161,4.718783851218948,8.809532503255802,32.701646766714134,23.548885724370443,10.330935602049635,14.136877593992283,5.753337958398753,2017,AL,morgan,morgan_AL,0.129,15380,1.3,SNAP,1.85,Other Nutrition Program,0.519,0.171,0.31,7907000,3.01,0.211,5800,0.74,0.26,35601,34.57,-86.98,82161,3877,7238,26868,19348,8488,11615,4727,118818,108967,9851,118818,115027,3791,45360,8267,11374,7336,9808,5468,1875,1232,116784,28282,27995,287,68283,58848,9435,20219,20219,0,118818,95425,15143,678,760,283,4294,2235
0500000US01107,14517,6.750706068746987,14.63112213267204,38.733898188330926,23.854790934766136,3.3822415099538468,9.967624164772335,2.679617000757732,2017,AL,pickens,pickens_AL,0.189,3810,1.3,SNAP,1.85,Other Nutrition Program,0.627,0.139,0.234,2097000,3.22,0.242,1010,0.78,0.22,35442,33.12,-88.15,14517,980,2124,5623,3463,491,1447,389,19119,18212,907,19119,18385,734,6705,1586,1395,1259,1479,764,55,167,17345,3748,3667,81,10044,8749,1295,3553,3553,0,null,null,null,null,null,null,null,null
0500000US01109,19727,2.5650124195265374,15.202514320474478,37.89729811932884,16.47995133573275,4.937395447863334,11.937953059258884,10.979875297815177,2017,AL,pike,pike_AL,0.21,6980,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.151,0.262,4000000,3.36,0.245,1610,0.76,0.24,36005,31.81,-85.83,19727,506,2999,7476,3251,974,2355,2166,33267,32998,269,33267,32743,524,9511,2074,2305,1604,2120,800,440,168,33090,7026,6863,163,21242,18600,2642,4822,4822,0,null,null,null,null,null,null,null,null
0500000US01111,15165,7.965710517639302,15.502802505769864,36.683151994724696,23.033300362677217,9.581272667326079,2.624464226838114,4.609297725024728,2017,AL,randolph,randolph_AL,0.153,3450,1.3,SNAP,1.85,Other Nutrition Program,0.583,0.154,0.263,1700000,2.89,0.23,1130,0.8,0.2,36263,33.46,-85.33,15165,1208,2351,5563,3493,1453,398,699,22670,22534,136,22670,22622,48,8371,1782,1953,2013,1628,386,312,297,22407,5121,4708,413,13669,10485,3184,3617,3617,0,null,null,null,null,null,null,null,null
0500000US01113,37893,6.370569762225213,11.851793207188663,31.997994352518933,23.334125036286384,8.708732483572163,11.85443221703217,5.88235294117647,2017,AL,russell,russell_AL,0.192,11220,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.175,0.256,5849000,3.05,0.223,3260,0.69,0.31,36851,32.13,-85.14,37893,2414,4491,12125,8842,3300,4492,2229,57045,53957,3088,57045,56303,742,23931,7682,5606,4447,3660,1718,449,369,55810,15312,14855,457,32754,26697,6057,7744,7744,0,57045,26887,25466,138,276,0,2679,1599
0500000US01117,144760,1.890715667311412,5.17062724509533,19.914340978170767,21.698673666758772,8.007736943907156,27.734180712904116,15.583724785852446,2017,AL,shelby,shelby_AL,0.093,19340,1.3,SNAP,1.85,Other Nutrition Program,0.378,0.128,0.494,11272000,3.42,0.159,8010,0.5,0.5,35007,33.22,-86.82,144760,2737,7485,28828,31411,11592,40148,22559,213605,201300,12305,213605,206881,6724,78666,8761,10690,11974,19123,16196,5701,6221,211902,53511,52075,1436,126677,116317,10360,31714,31562,152,213605,171245,26651,571,3167,69,6240,5662
0500000US01121,56193,5.215952164860392,11.104585980460199,34.37260868791486,23.760966668446247,11.261189116082074,8.874770878935099,5.409926503301123,2017,AL,talladega,talladega_AL,0.172,13930,1.3,SNAP,1.85,Other Nutrition Program,0.561,0.196,0.243,7688000,3.23,0.23,4070,0.77,0.23,35014,33.33,-86.18,56193,2931,6240,19315,13352,6328,4987,3040,80065,78214,1851,80065,78828,1237,31759,7237,8704,5712,6518,2425,644,519,76760,18105,18007,98,45230,39388,5842,13425,13425,0,80065,50624,26648,250,162,0,1328,1053
0500000US01123,29296,4.389677771709448,13.868787547788095,31.23634625887493,22.70617149098853,9.598580010922992,11.578372474057891,6.62206444565811,2017,AL,tallapoosa,tallapoosa_AL,0.166,6770,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.165,0.258,3621000,3.13,0.243,2110,0.79,0.21,35010,32.92,-85.93,29296,1286,4063,9151,6652,2812,3392,1940,40681,39704,977,40681,40223,458,15278,3826,2640,3266,2897,1725,442,482,40148,9287,9095,192,22876,19891,2985,7985,7985,0,null,null,null,null,null,null,null,null
0500000US01125,128996,4.411764705882353,9.415020620794442,28.386926726410124,18.954076095382803,6.195540947006109,19.253310180160625,13.383360724363547,2017,AL,tuscaloosa,tuscaloosa_AL,0.164,33580,1.3,SNAP,1.85,Other Nutrition Program,0.49,0.148,0.363,19213000,3.35,0.198,8500,0.67,0.33,35111,33.28,-87.12,128996,5691,12145,36618,24450,7992,24836,17264,207811,200018,7793,207811,203043,4768,72243,13459,12537,14071,16856,9994,3276,2050,206347,51296,50868,428,128745,115764,12981,26306,26212,94,207811,132278,66928,755,3522,115,1768,2445
0500000US01127,44837,6.1132546780560695,11.671164440082968,36.244619399156946,25.61500546423713,8.787385418292928,7.299774739612373,4.26879586056159,2017,AL,walker,walker_AL,0.146,9470,1.3,SNAP,1.85,Other Nutrition Program,0.617,0.117,0.266,4538000,2.81,0.245,3540,0.83,0.17,35038,33.6,-87.14,44837,2741,5233,16251,11485,3940,3273,1914,64058,62408,1650,64058,63495,563,25231,6328,5443,4290,5501,2480,614,575,63250,14421,14080,341,37123,31126,5997,11706,11660,46,64058,57806,3831,328,353,0,549,1191
0500000US01133,17499,5.634607691868107,15.715183724784273,38.876507228984515,20.675467169552547,10.206297502714442,4.7259843419623975,4.165952340133722,2017,AL,winston,winston_AL,0.131,3140,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.236,0.161,1588000,2.96,0.24,1210,0.97,0.03,35540,34.19,-87.17,17499,986,2750,6803,3618,1786,827,729,23722,23533,189,23722,23679,43,8978,2635,2343,1314,1822,563,58,243,23366,5051,4737,314,13609,10825,2784,4706,4706,0,null,null,null,null,null,null,null,null
0500000US02090,61914,1.9187905804826049,4.9762573892819075,23.14016216041606,30.963917692282845,9.387214523371128,16.635978938527636,12.977678715637818,2017,AK,fairbanks north star,fairbanks north star_AK,0.125,12470,1.3,SNAP,1.85,Other Nutrition Program,0.355,0.188,0.457,7938000,3.73,0.163,3940,0.57,0.43,99701,64.81,-147.72,61914,1188,3081,14327,19171,5812,10300,8035,99703,91630,8073,99703,97536,2167,35046,2147,5717,6175,8158,7740,2717,2392,92530,25499,22898,2601,57536,49740,7796,9495,9495,0,99703,75282,4541,7512,2964,126,1084,8194
0500000US02122,40884,2.0179043146463167,5.1242539868897365,28.742295274434987,26.20585069954016,12.386263574992661,17.911652480187847,7.611779669308287,2017,AK,kenai peninsula,kenai peninsula_AK,0.136,7880,1.3,SNAP,1.85,Other Nutrition Program,0.488,0.14,0.372,5498000,4.09,0.196,2620,0.66,0.34,99556,59.82,-151.59,40884,825,2095,11751,10714,5064,7323,3112,58617,56177,2440,58617,58339,278,21901,3339,4171,3441,4769,3454,1368,1359,57470,14102,12919,1183,33517,26803,6714,9851,9851,0,58617,48458,222,4816,1161,109,645,3206
0500000US02170,67973,2.8658437909169816,5.640474894443382,33.67219337089727,27.674223588777895,8.278286966883911,14.66905977373369,7.199917614346873,2017,AK,matanuska-susitna,matanuska-susitna_AK,0.128,12900,1.3,SNAP,1.85,Other Nutrition Program,0.413,0.152,0.435,8412000,3.82,0.185,5100,0.53,0.47,99629,61.58,-149.44,67973,1948,3834,22888,18811,5627,9971,4894,106532,101309,5223,106532,105216,1316,29443,4146,4476,4419,6418,6043,2278,1663,104928,30363,26975,3388,62490,50589,11901,12075,11930,145,106532,88189,1540,6605,1522,206,328,8142
0500000US04001,44572,9.393789823207396,11.327739387956564,28.854437763618414,29.72718298483353,8.583864309431931,8.276496455173652,3.836489275778516,2017,AZ,apache,apache_AZ,0.242,17330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.838,NA,0.162,9109000,3.08,0.342,6950,0.94,0.06,85920,33.83,-109.19,44572,4187,5049,12861,13250,3826,3689,1710,71606,67126,4480,71606,71148,458,20550,7301,4474,3074,3765,1580,296,60,70927,21016,15524,5492,39212,27495,11717,10699,10402,297,71606,15987,262,54232,66,53,513,493
0500000US04003,86811,4.6295976316365435,7.135040490260451,21.21850917510454,31.798965568879524,10.510188800958403,14.006289525520959,10.701408807639586,2017,AZ,cochise,cochise_AZ,0.139,17580,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.69,NA,0.31,8677000,2.89,0.225,6300,0.73,0.27,85602,32.19,-110.38,86811,4019,6194,18420,27605,9124,12159,9290,124756,80359,44397,124756,118767,5989,48939,8532,9871,9199,12798,5668,1288,1583,116440,27909,26641,1268,61972,54122,7850,26559,26557,2,124756,107676,5042,1981,2258,473,3191,4135
0500000US04005,83432,3.2661328986480007,5.530252181417202,23.142199635631414,23.67077380381628,7.1039888771694315,21.681129542621534,15.605523060696136,2017,AZ,coconino,coconino_AZ,0.18,24950,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.64,NA,0.36,13770000,3.23,0.233,6960,0.71,0.29,85931,34.42,-110.91,83432,2725,4614,19308,19749,5927,18089,13020,140776,120873,19903,140776,138104,2672,47977,9321,9362,7338,12144,4894,2027,2891,139899,35582,32766,2816,87797,76438,11359,16520,16399,121,140776,92468,1731,36364,3259,633,1235,5086
0500000US04007,39323,2.265849502835491,11.479286931312464,27.93276199679577,33.71055107697785,6.016834931210742,10.751977214352923,7.8427383465147615,2017,AZ,gila,gila_AZ,0.168,8950,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.763,NA,0.237,4725000,3.09,0.271,2940,0.82,0.19,85135,33,-110.78,39323,891,4514,10984,13256,2366,4228,3084,53501,43480,10021,53501,52207,1294,22052,6472,5454,3871,3560,1323,952,420,52760,11065,10029,1036,27108,23539,3569,14587,14515,72,53501,40540,320,8845,497,0,1071,2228
0500000US04009,23065,3.203988727509213,10.088879254281379,25.73596358118361,37.36830695859528,7.699978322133102,11.628007804032084,4.2748753522653375,2017,AZ,graham,graham_AZ,0.147,5540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.67,NA,0.33,2781000,2.94,0.238,2460,0.74,0.26,85530,33.07,-110.25,23065,739,2327,5936,8619,1776,2682,986,37466,25184,12282,37466,37121,345,10414,2492,1759,2520,2077,1069,497,0,34045,10747,10582,165,18346,16655,1691,4952,4917,35,37466,29869,499,5280,227,101,420,1070
0500000US04013,2864476,5.697900767889136,6.70939466764602,22.836428023834028,23.82327518191809,8.682425686233712,20.595005857964946,11.655569814514068,2017,AZ,maricopa,maricopa_AZ,0.137,571060,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.66,NA,0.34,300180000,3.08,0.204,210760,0.65,0.35,85001,33.45,-112.06,2864476,163215,192189,654144,682412,248706,589939,333871,4307033,2967459,1339574,4307033,3933417,373616,1536579,196618,278253,259295,364992,238741,94662,104018,4274932,1101082,1012544,88538,2541052,2189566,351486,632798,626625,6173,4307033,3342292,235421,87049,179761,10317,291906,160287
0500000US04015,158780,4.205819372716967,9.538984758785741,35.70663811563169,28.47776798085401,8.560272074568585,8.023050762060713,5.48746693538229,2017,AZ,mohave,mohave_AZ,0.168,34330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.724,NA,0.276,17898000,3.06,0.247,9210,0.8,0.2,85360,34.79,-113.37,158780,6678,15146,56695,45217,13592,12739,8713,207200,173137,34063,207200,201457,5743,87565,18090,22111,18346,16823,7336,2773,2086,204245,38391,34142,4249,104676,87968,16708,61178,60825,353,207200,186157,2473,4806,2525,141,6030,5068
0500000US04017,70045,6.090370476122493,10.453280034263686,28.698693696909128,30.249125562138623,6.430152045113855,10.727389535298737,7.3509886501534725,2017,AZ,navajo,navajo_AZ,0.209,22590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.785,NA,0.215,11322000,2.94,0.299,8910,0.83,0.17,85901,34.23,-110.07,70045,4266,7322,20102,21188,4504,7514,5149,108956,96673,12283,108956,106689,2267,36094,9692,7778,6314,6683,3439,1685,503,106301,31144,28082,3062,56974,45889,11085,18183,17942,241,108956,51477,1291,46635,638,1811,4424,2680
0500000US04019,684433,3.6842174471423794,6.838653308651102,21.596416303714168,25.04876299067988,9.274099875371293,19.541722856729585,14.016127217711594,2017,AZ,pima,pima_AZ,0.136,137450,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.719,NA,0.281,70894000,3.02,0.212,46370,0.7,0.3,85321,32.15,-112.62,684433,25216,46806,147813,171442,63475,133750,95931,1022769,641479,381290,1022769,963022,59747,403574,75009,84739,68938,88888,51433,16671,17896,999171,232858,219306,13552,572363,504003,68360,193950,193188,762,1022769,779589,35898,42875,29936,1639,80937,51895
