geo_id,county_state.x,total,white,black,am_ind_al_nat,asian,nat_ha_pac_isl,other,two_or_more,hispanic,year,state,county,county_state.y,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
0500000US05063,"Independence County, Arkansas",37504,0.23775905314127127,0.0035050299981653835,0.001692083447390185,0.004116455109407215,0,0.014738189018654847,0.004827414541083763,6.495307167235495,2017,AR,independence,independence_AR,0.155,5740,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.151,0.273,2779000,2.84,0.244,2160,0.71,0.29,72165,35.55,-91.46,24954,1289,2700,9792,5333,2108,2039,1693,37504,35068,2436,37504,36880,624,14087,3343,3698,2467,2973,672,700,234,37006,9527,9295,232,21229,18607,2622,6250,6206,44,37504,33442,493,238,579,0,2073,679
0500000US05069,"Jefferson County, Arkansas",69115,0.05722141135237821,0.08283015961730988,3.328530184030195e-4,0.0017919634198300923,0,0.0014737643078976462,0.0010362405289905323,2.108080735006873,2017,AR,jefferson,jefferson_AR,0.247,17620,1.3,SNAP,1.85,Other Nutrition Program,0.579,0.127,0.293,8697000,2.89,0.271,4410,0.68,0.32,71601,34.21,-92.01,46424,1356,4464,18844,11037,2198,5752,2773,69115,67658,1457,69115,68314,801,26537,6300,7498,4444,4990,2618,331,356,63905,16713,15982,731,35849,32702,3147,11343,11317,26,69115,27334,39567,159,856,0,704,495
0500000US05071,"Johnson County, Arkansas",26552,0.34318725233780945,0.008950244109326627,0.001191474651637776,0.00763111145929909,0.002014159530149574,0.006794242358743986,0.006850979246917212,12.319222657426936,2017,AR,johnson,johnson_AR,0.154,4020,1.3,SNAP,1.85,Other Nutrition Program,0.634,0.162,0.204,1965000,2.87,0.247,1580,0.78,0.23,72830,35.45,-93.47,17613,1070,1419,7504,3276,690,2112,1542,26552,23281,3271,26552,25543,1009,9495,2336,2225,1693,1707,977,441,116,26294,6265,6191,74,15554,14299,1255,4475,4475,0,26552,24195,631,84,538,142,479,483
0500000US05083,"Logan County, Arkansas",21722,0.42132454586533497,0.005616247719029868,0.001949791660946218,8.901222799971865e-4,0,0.00739649227902424,0.02318556605516481,3.2041248503821014,2017,AR,logan,logan_AR,0.16,3490,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.152,0.246,1729000,2.9,0.251,1230,0.79,0.21,72826,35.13,-93.71,15107,431,1500,7191,3773,862,805,545,21722,21026,696,21722,21598,124,8201,2154,2477,1542,1541,385,72,30,21488,5953,5871,82,11446,9654,1792,4089,4089,0,21722,19880,265,92,42,0,349,1094
0500000US05085,"Lonoke County, Arkansas",72898,0.12219148137746312,0.009416425490695558,0.0011121317875701588,3.142572056247319e-4,0,4.647995795766993e-4,0.003678879263451202,4.716178770336635,2017,AR,lonoke,lonoke_AR,0.139,9940,1.3,SNAP,1.85,Other Nutrition Program,0.435,0.165,0.399,5320000,3.14,0.209,3930,0.61,0.39,72023,34.96,-92.02,48062,1693,2942,16988,9394,5795,8449,2801,72898,69460,3438,72898,72406,492,27121,4194,6696,5086,5983,2809,1603,750,71249,19673,18862,811,42317,37807,4510,9259,9259,0,72898,64934,5004,591,167,0,247,1955
0500000US05091,"Miller County, Arkansas",43984,0.1600078771327409,0.05621339569757898,0.003933645436860469,5.737643147063232e-4,0,0.0020366048648134357,0.004590114517650586,3.3762277191706076,2017,AR,miller,miller_AR,0.197,8610,1.3,SNAP,1.85,Other Nutrition Program,0.566,0.134,0.301,4455000,3.03,0.252,2640,0.72,0.28,71834,33.11,-93.95,29182,1589,3250,9930,7452,1082,4158,1721,43984,42499,1485,43984,43680,304,16918,3899,3419,3150,3718,2076,432,224,42754,10883,10711,172,25173,22422,2751,6698,6698,0,43984,30955,10875,761,111,0,394,888
0500000US05093,"Mississippi County, Arkansas",42159,0.1437339318979809,0.08330232887155066,2.8693899584283965e-4,0.0028356324295057095,0,0.0034095104211913883,0.0036289343591888548,4.307502549870727,2017,AR,mississippi,mississippi_AR,0.233,10160,1.3,SNAP,1.85,Other Nutrition Program,0.632,0.184,0.184,4840000,2.79,0.282,3270,0.76,0.24,72310,35.91,-89.74,26990,1379,3311,11691,5121,2240,2351,897,42159,40343,1816,42159,41990,169,17552,5193,3243,4448,2837,1127,403,301,41413,11517,10705,812,24158,22258,1900,5738,5738,0,42159,25547,14806,51,504,0,606,645
0500000US05113,"Polk County, Arkansas",20748,0.41544370484128784,0.00738711128044786,0.009849481707263815,0.0013937945812165775,0,0.029711054489600038,0.018189019284876335,10.401002506265664,2017,AR,polk,polk_AR,0.17,3440,1.3,SNAP,1.85,Other Nutrition Program,0.658,0.176,0.166,1721000,2.93,0.27,1280,0.92,0.08,71932,34.54,-94.1,14982,911,943,6134,3461,1251,1226,1056,20748,18590,2158,20748,19963,785,8107,2346,2022,1550,1443,414,157,175,20637,5161,4888,273,10598,8067,2531,4878,4878,0,20748,17884,318,424,60,0,1279,783
0500000US05115,"Pope County, Arkansas",63835,0.1440597215069111,0.003641800703818478,0,0.001094503446026308,0,0.0016393011254385063,0.006218546484822117,9.118821962873032,2017,AR,pope,pope_AR,0.16,10130,1.3,SNAP,1.85,Other Nutrition Program,0.557,0.151,0.292,4945000,2.86,0.236,3390,0.77,0.23,72679,35.69,-92.86,40519,1780,4040,13792,7514,2359,7435,3599,63835,58014,5821,63835,61960,1875,22723,4732,5656,3682,4889,2177,593,994,63252,17328,16786,542,36522,31567,4955,9402,9402,0,63835,58703,1484,0,446,0,668,2534
0500000US05119,"Pulaski County, Arkansas",393956,0.014140858205951038,0.009339159661825748,5.032173373269798e-5,5.783455595194585e-4,1.3401947012037361e-5,5.4438966492646e-4,7.170685975815568e-4,6.174547411386043,2017,AR,pulaski,pulaski_AR,0.193,75980,1.3,SNAP,1.85,Other Nutrition Program,0.513,0.151,0.336,40657000,3.14,0.222,20560,0.65,0.35,72053,34.65,-92.24,267664,7119,16588,72820,60775,17399,54548,38415,393956,369631,24325,393956,381057,12899,156546,27628,33001,26012,34474,18361,8905,8165,387305,97013,94327,2686,233113,210866,22247,57179,57161,18,393956,219468,144945,781,8976,208,8449,11129
0500000US05125,"Saline County, Arkansas",119323,0.07364528697619147,0.006206639591521744,1.0394734180663328e-4,0.0010570320906688046,1.3625529939518142e-4,9.558941364785667e-4,0.001701084201727471,4.802929862641737,2017,AR,saline,saline_AR,0.119,13850,1.3,SNAP,1.85,Other Nutrition Program,0.342,0.201,0.458,7625000,3.23,0.184,5090,0.55,0.45,71909,34.66,-93,82486,1778,4942,24894,20814,8874,13658,7526,119323,113592,5731,119323,117590,1733,44420,4928,8089,9250,11172,7292,2050,1639,118076,29439,27797,1642,68815,62175,6640,19822,19631,191,119323,104856,8837,148,1505,194,1361,2422
0500000US05131,"Sebastian County, Arkansas",128107,0.057276027788913816,0.004743043472296274,6.794056361267145e-4,0.0030966273029560203,0,0.007453354027894144,0.004811288702113486,14.39577852888601,2017,AR,sebastian,sebastian_AR,0.165,20970,1.3,SNAP,1.85,Other Nutrition Program,0.611,0.132,0.257,10071000,2.81,0.249,7720,0.72,0.28,72901,35.36,-94.38,85038,4965,8971,25800,19986,6898,12153,6265,128107,109665,18442,128107,122630,5477,50734,11156,13317,8409,10566,4955,1418,913,126935,33000,30385,2615,75352,64219,11133,18583,18451,132,128107,93998,7784,1115,5082,0,12232,7896
0500000US05143,"Washington County, Arkansas",231996,0.03255128594429793,0.0014971532902153723,3.138113560652473e-4,0.0012000636760363722,8.097039015585246e-4,0.0050551683693447315,0.0016770049140585692,16.84339385161813,2017,AR,washington,washington_AR,0.144,32140,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.155,0.295,16206000,2.95,0.204,11380,0.7,0.3,72701,36.07,-94.15,140005,9231,13755,33975,30697,6449,28448,17450,231996,192920,39076,231996,214902,17094,85290,13854,21057,14847,18118,8949,4661,3804,229871,62114,56473,5641,142359,122067,20292,25398,25034,364,231996,175198,8058,1689,6459,4358,27208,9026
0500000US05145,"White County, Arkansas",79016,0.11430716267106776,0.005448842161850864,7.28754610124087e-4,8.00829241894601e-4,0,0.0020116830556392374,0.0032593750145110257,4.352283081907462,2017,AR,white,white_AR,0.159,12510,1.3,SNAP,1.85,Other Nutrition Program,0.497,0.191,0.313,5995000,2.81,0.226,4210,0.73,0.27,72010,35.3,-91.57,51342,2686,5579,19876,7796,3415,7720,4270,79016,75577,3439,79016,77683,1333,29067,5742,7449,4365,6454,3825,763,469,78478,19048,18512,536,47215,42865,4350,12215,12171,44,79016,71368,3402,455,500,0,1256,2035
0500000US05149,"Yell County, Arkansas",21523,0.3440336802518422,0.007102157294525702,0,0.016147153970532596,0,0.09582515571550027,0.0015110972967075959,22.915021140175625,2017,AR,yell,yell_AR,0.132,2840,1.3,SNAP,1.85,Other Nutrition Program,0.619,0.23,0.151,1373000,2.83,0.23,1230,0.8,0.2,72824,35.09,-93.44,14175,1100,1542,6098,2622,617,1587,609,21523,16591,4932,21523,19654,1869,7409,1530,1818,1515,1313,942,189,102,21230,6222,6090,132,11752,10561,1191,3256,3256,0,21523,15937,329,0,748,0,4439,70
0500000US06001,"Alameda County, California",1663190,0.0023927364848709124,6.320184307305364e-4,3.974042412311909e-5,0.0018158080498842316,4.732121820900835e-5,6.858829189898354e-4,3.990346361442744e-4,22.46718655114569,2017,CA,alameda,alameda_CA,0.122,198950,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.613,NA,0.387,128941000,3.8,0.152,52450,0.55,0.45,94501,37.77,-122.27,1178053,68759,72649,212359,205707,71652,316679,230248,1663190,1289518,373672,1663190,1393789,269401,573589,59439,64621,61203,109960,107858,69079,101429,1654543,364749,355845,8904,1070018,1000947,69071,219776,217360,2416,1663190,661879,174829,10993,502289,13090,189729,110381
0500000US06005,"Amador County, California",38626,0.23113098180406133,0.007185141297237957,0.0014343472365754878,0.0014544549081162658,0,0.0026139973003011224,0.015074051098403141,14.135556361000361,2017,CA,amador,amador_CA,0.116,4320,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.558,NA,0.442,2950000,4,0.194,1110,0.68,0.32,95601,38.43,-120.84,29902,723,1785,8584,9125,4867,3104,1714,38626,33166,5460,38626,38166,460,13863,2048,2734,1863,3433,2495,499,791,35092,5546,5407,139,19138,18415,723,10408,10408,0,38626,34484,1072,214,217,0,390,2249
0500000US06007,"Butte County, California",229294,0.03536631258662099,7.965651314813232e-4,6.364152172723274e-4,0.0022750037100401402,4.336601002333852e-5,0.0021386290206246417,0.0023558394743380296,16.384641551894074,2017,CA,butte,butte_CA,0.16,35920,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.772,NA,0.228,20009000,3.26,0.207,9430,0.72,0.28,95914,39.42,-121.36,151101,5545,9893,33420,45264,16770,25216,14993,229294,191725,37569,229294,221939,7355,88797,18737,17958,15020,18992,10630,2969,4491,226204,50352,49772,580,135496,123745,11751,40356,40275,81,229294,185941,4188,3346,11961,228,11244,12386
0500000US06009,"Calaveras County, California",45670,0.19701316874720637,0.0011314880712630366,0.002493109309562623,0.004688963278369702,9.636826369655523e-4,0.0035910362939661628,0.00908067121598386,12.069192029778849,2017,CA,calaveras,calaveras_CA,0.122,5480,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.695,NA,0.305,4201000,4.49,0.194,1540,0.67,0.33,95221,38.07,-120.55,34538,1137,2347,8676,11138,4828,4258,2154,45670,40158,5512,45670,44934,736,17995,2741,2709,4018,4600,1806,1289,832,45284,8126,7864,262,25338,23196,2142,11820,11820,0,45670,41092,236,520,978,201,749,1894
0500000US06013,"Contra Costa County, California",1147439,0.004979689379173414,7.155539769159418e-4,4.067244320073949e-5,0.001483590975777189,4.541186515354274e-5,8.014484045830125e-4,6.486931893349689e-4,25.673173040135467,2017,CA,contra costa,contra costa_CA,0.101,113940,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.633,NA,0.367,70237000,3.61,0.15,39250,0.54,0.46,94505,37.86,-121.64,791111,48354,41659,131082,168323,68135,210880,122678,1147439,852855,294584,1147439,1015546,131893,392046,36196,43447,46761,77570,73946,42665,71461,1141780,275218,265637,9581,693435,646278,47157,173127,172367,760,1147439,655634,94211,5355,195332,5979,105520,85408
0500000US06015,"Del Norte County, California",27470,0.2577919003277096,0.0060429294478710534,0.030161639086303767,0.023124806768717077,0,0.02585472665086935,0.02105748879970856,19.585001820167456,2017,CA,del norte,del norte_CA,0.164,4490,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.742,NA,0.258,2575000,3.36,0.239,1390,0.79,0.22,95531,41.78,-124.16,19879,1006,3706,6743,5041,1651,1186,546,27470,22090,5380,27470,24899,2571,9993,3172,2418,1599,1583,943,146,132,24875,5463,5440,23,13648,13009,639,5764,5764,0,27470,19453,456,2276,1745,0,1951,1589
0500000US06017,"El Dorado County, California",188987,0.04668176664460885,4.605767810661707e-4,4.0541956169228883e-4,0.002328362620879195,0,8.990346772057594e-4,0.0021385321907497943,12.84638625937234,2017,CA,el dorado,el dorado_CA,0.107,19880,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.569,NA,0.431,14525000,4.28,0.163,6220,0.5,0.5,95613,38.8,-120.88,137282,3037,6494,27433,36361,16969,31227,15761,188987,164709,24278,188987,182091,6896,69368,8118,8632,10859,14265,13495,6684,7315,187615,40732,39587,1145,108599,103305,5294,38284,38284,0,188987,166729,1645,1448,8316,0,3211,7638
0500000US06019,"Fresno County, California",989255,0.006630463132429187,4.7359283127185794e-4,9.867922350081628e-5,0.0010470195668207142,1.657426742449249e-5,0.0014126037626567614,4.296843065350859e-4,53.16475529565178,2017,CA,fresno,fresno_CA,0.14,136340,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.948,NA,0.052,69755000,3,0.248,69230,0.75,0.25,93210,36.19,-120.39,608533,79636,64537,140377,145998,53878,83789,40318,989255,463320,525935,989255,868888,120367,305819,55563,63675,51778,66066,37183,16883,14671,978243,293455,285466,7989,569039,503885,65154,115749,114050,1699,989255,648874,46347,9657,102464,1622,138241,42050
0500000US06021,"Glenn County, California",28094,0.29063460635809846,0.00402902501512164,0.010186591547666034,0.010883435496822292,0,0.03876986335305729,0.0014443674582511543,41.93066135117819,2017,CA,glenn,glenn_CA,0.13,3620,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.96,NA,0.04,1993000,3.23,0.216,1620,0.75,0.25,95913,39.72,-122.14,18698,2653,1861,5011,4685,1470,2689,329,28094,16314,11780,28094,24675,3419,10531,1432,1656,3140,2682,1144,337,140,27807,8099,7866,233,14956,13003,1953,4752,4752,0,28094,22939,318,804,859,0,3060,114
0500000US06023,"Humboldt County, California",136754,0.05860069128434633,9.737105365196196e-4,0.0027890577476586136,0.002332948418909995,9.127533694887372e-4,0.0031965082851808267,0.0043183340433456605,11.710809190224783,2017,CA,humboldt,humboldt_CA,0.162,21900,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.818,NA,0.182,11936000,3.19,0.203,5350,0.85,0.15,95501,40.8,-124.15,92277,2160,5611,20235,23642,9579,19856,11194,136754,120739,16015,136754,133364,3390,53446,11177,12363,8745,11403,5305,2137,2316,135847,29174,26649,2525,83878,73249,10629,22795,22673,122,136754,109593,1821,5216,4363,1707,5978,8076
0500000US06025,"Imperial County, California",182830,0.032004251533564725,0.0013647728126390192,4.7117868915091086e-4,6.261441246938771e-4,2.848013409978839e-4,0.01801966803956569,0.0019248023403155305,84.2629765355795,2017,CA,imperial,imperial_CA,0.142,25480,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.971,NA,0.029,11417000,2.63,0.303,15660,0.72,0.28,92222,32.79,-114.53,111254,16808,15042,31324,25551,5746,11598,5185,182830,28772,154058,182830,155525,27305,44478,10033,8921,6697,9090,5989,2351,1397,173359,55159,53029,2130,94821,86315,8506,23379,23021,358,182830,106980,4562,1575,2093,952,60234,6434
0500000US06029,"Kern County, California",893119,0.008440910829314557,0.00059950238431636185,1.1464762242938371e-4,5.67546475123087e-4,1.903062775809781e-5,0.0011203498552240904,3.347284328993488e-4,53.43487262055784,2017,CA,kern,kern_CA,0.134,117590,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.954,NA,0.046,59628000,2.97,0.238,61390,0.77,0.23,93203,35.08,-118.79,542437,78314,67089,151197,118584,40232,56678,30343,893119,415882,477237,893119,779306,113813,269147,47764,63232,44907,57249,32965,13211,9819,865603,273904,265670,8234,498414,439814,58600,93285,92946,339,893119,673299,47820,9145,45271,1518,89366,26700
0500000US06031,"Kings County, California",150101,0.04481607181578813,0.004126441188362935,0.001098964008001143,0.0026351168479413515,1.0208470187409648e-5,0.011150756370360549,0.00278424928198351,54.82508444314161,2017,CA,kings,kings_CA,0.132,19880,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.912,NA,0.088,10092000,2.97,0.229,9430,0.77,0.23,93202,36.31,-119.71,93123,13777,10926,23033,25262,7812,8782,3531,150101,67808,82293,150101,129141,20960,43029,6676,8370,7067,11297,7228,1356,1035,135965,43966,42506,1460,77360,67729,9631,14639,14345,294,150101,100972,9297,2476,5937,23,25123,6273
0500000US06033,"Lake County, California",64246,0.11816214833318267,0.00336277089080738,0.007190708936539125,0.002572955825675387,1.1871453432965535e-4,0.020910717261209293,0.0033336979436246078,20.560034865983877,2017,CA,lake,lake_CA,0.156,9980,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.844,NA,0.156,6246000,3.67,0.232,3050,0.79,0.21,95422,38.96,-122.64,48029,2881,3541,16317,12954,5765,4563,2008,64246,51037,13209,64246,62173,2073,27399,7258,4435,4197,6442,3495,961,611,63594,13602,13353,249,35963,31473,4490,14029,13958,71,64246,48772,1388,2968,1062,49,8631,1376
