year,state,county,county_state,fi_rate,number_food_insecure_individuals,low_threshold_in_state,low_threshold_type,high_threshold_in_state,high_threshold_type,percent_fi_low_threshold,percent_fi_btwn_thresholds,percent_fi_high_threshold,weighted_annual_food_budget_shortfall,cost_per_meal,child_fi_rate,number_food_insecure_children,percent_of_children_in_fi_hh_with_hh_incomes_below_185_percent_fpl,percent_of_children_in_fi_hh_with_hh_incomes_above_185_percent_fpl,zip,latitude,longitude,id,estimate_total_edu_data,estimate_total_less_than_9th_grade,estimate_total_9th_to_12th_grade_no_diploma,estimate_total_high_school_graduate_includes_equivalency,estimate_total_some_college_no_degree,estimate_total_associates_degree,estimate_total_bachelors_degree,estimate_total_graduate_or_professional_degree,estimate_total_hispanic_data,estimate_total_not_hispanic_or_latino,estimate_total_hispanic_or_latino,estimate_total_immigration_data,estimate_total_u_s_citizen,estimate_total_not_a_u_s_citizen,estimate_total_income_data,estimate_total_less_than_20_000,estimate_total_20_000_to_39_999,estimate_total_40_000_to_59_999,estimate_total_60_000_to_99_999,estimate_total_100_000_to_149_999,estimate_total_150_000_to_199_999,estimate_total_200_000_or_more,estimate_total_ins_status_data,estimate_total_under_19_years,estimate_total_under_19_years_with_health_insurance_coverage,estimate_total_under_19_years_no_health_insurance_coverage,estimate_total_19_to_64_years,estimate_total_19_to_64_years_with_health_insurance_coverage,estimate_total_19_to_64_years_no_health_insurance_coverage,estimate_total_65_years_and_over,estimate_total_65_years_and_over_with_health_insurance_coverage,estimate_total_65_years_and_over_no_health_insurance_coverage,estimate_total_race_data,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races
2017,AL,covington,covington_AL,0.146,5480,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.181,0.292,2740000,2.93,0.226,1860,0.76,0.24,36038,31.4,-86.48,0500000US01039,25533,1223,3087,10700,4166,2088,2941,1328,37092,36741,351,37092,37092,0,14133,3094,3880,2560,3059,1127,383,30,36446,8783,7781,1002,20389,17050,3339,7274,7274,0,null,null,null,null,null,null,null,null
2017,AL,crenshaw,crenshaw_AL,0.158,2200,1.3,SNAP,1.85,Other Nutrition Program,0.547,0.196,0.257,1201000,3.2,0.213,670,0.76,0.24,36009,31.58,-86.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,cullman,cullman_AL,0.118,9660,1.3,SNAP,1.85,Other Nutrition Program,0.54,0.208,0.253,5024000,3.05,0.201,3690,0.8,0.2,35019,34.26,-86.61,0500000US01043,57916,2498,7817,20810,13037,6583,4446,2725,82755,79170,3585,82755,81304,1451,30740,6707,7511,5278,7143,3043,737,321,81881,18891,18098,793,48542,40251,8291,14448,14448,0,82755,78414,1076,0,414,0,543,2308
2017,AL,dale,dale_AL,0.161,7940,1.3,SNAP,1.85,Other Nutrition Program,0.544,0.166,0.29,4199000,3.1,0.225,2610,0.74,0.26,36311,31.59,-85.71,0500000US01045,33249,1340,3550,10295,8838,3853,3786,1587,49226,46020,3206,49226,48454,772,18760,4959,4410,3288,3675,1639,528,261,46214,12297,12114,183,26985,22599,4386,6932,6932,0,49226,35412,9447,199,956,0,658,2554
2017,AL,dallas,dallas_AL,0.272,11100,1.3,SNAP,1.85,Other Nutrition Program,0.708,0.171,0.121,5771000,3.05,0.298,3000,0.76,0.24,36701,32.41,-87.03,0500000US01047,25856,668,2443,11031,6160,2805,1441,1308,39215,39118,97,39215,39117,98,16397,4578,5541,1808,2744,1382,254,90,38962,10405,10344,61,21953,18801,3152,6604,6387,217,null,null,null,null,null,null,null,null
2017,AL,dekalb,dekalb_AL,0.124,8840,1.3,SNAP,1.85,Other Nutrition Program,0.65,0.189,0.162,4696000,3.11,0.228,4000,0.88,0.12,35961,34.26,-85.86,0500000US01049,47604,4300,6514,17808,8217,3568,4680,2517,71617,60992,10625,71617,67378,4239,25848,6933,6090,4622,4542,2513,486,662,70863,17840,17526,314,41505,32927,8578,11518,11458,60,71617,61603,1109,762,0,0,5879,2264
2017,AL,elmore,elmore_AL,0.133,10740,1.3,SNAP,1.85,Other Nutrition Program,0.426,0.132,0.442,5948000,3.25,0.195,3570,0.65,0.35,36020,32.49,-86.33,0500000US01051,55782,2026,5438,17495,11238,5720,8913,4952,81677,79231,2446,81677,80995,682,29176,4828,4365,5241,7215,5228,1003,1296,76213,19708,19301,407,44700,40872,3828,11805,11805,0,81677,60736,18092,304,400,0,1407,738
2017,AL,escambia,escambia_AL,0.184,6930,1.3,SNAP,1.85,Other Nutrition Program,0.598,0.195,0.207,3532000,2.99,0.241,2020,0.86,0.14,36426,31.11,-87.07,0500000US01053,26608,1207,3838,11758,4742,2345,1471,1247,37447,37232,215,37447,37147,300,12415,3320,3375,2352,1995,911,248,214,33543,8494,8228,266,18715,14554,4161,6334,6334,0,null,null,null,null,null,null,null,null
2017,AL,etowah,etowah_AL,0.146,15010,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.173,0.267,7409000,2.89,0.228,5140,0.77,0.23,35901,34.01,-86.01,0500000US01055,71846,2842,8703,23817,16393,6209,8372,5510,102755,98801,3954,102755,101248,1507,37091,10178,7456,6055,7983,3553,1133,733,101960,23954,23221,733,59364,48402,10962,18642,18642,0,102755,82298,16066,1018,727,0,1199,1447
2017,AL,fayette,fayette_AL,0.144,2400,1.3,SNAP,1.85,Other Nutrition Program,0.581,0.191,0.228,1282000,3.13,0.222,800,0.81,0.19,35542,33.7,-87.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,franklin,franklin_AL,0.129,4060,1.3,SNAP,1.85,Other Nutrition Program,0.653,0.127,0.219,1898000,2.74,0.256,1990,0.8,0.2,35571,34.32,-87.92,0500000US01059,19847,2672,2232,7105,3935,817,1832,1254,31495,26148,5347,31495,29264,2231,11318,1918,2946,2394,3142,304,408,206,31318,8602,8108,494,17860,14835,3025,4856,4856,0,null,null,null,null,null,null,null,null
2017,AL,geneva,geneva_AL,0.148,3930,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.118,0.264,1916000,2.86,0.252,1490,0.75,0.25,36313,31.17,-85.79,0500000US01061,18029,1231,1851,6809,3431,2207,1409,1091,25816,24634,1182,25816,25657,159,9957,2469,2346,1470,2260,1202,98,112,25576,6596,6577,19,13788,10974,2814,5192,5192,0,25816,22765,1572,515,8,0,544,412
2017,AL,greene,greene_AL,0.297,2540,1.3,SNAP,1.85,Other Nutrition Program,0.764,0.21,0.026,1409000,3.25,0.344,690,0.79,0.21,35443,32.75,-88.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,hale,hale_AL,0.222,3330,1.3,SNAP,1.85,Other Nutrition Program,0.649,0.177,0.174,1844000,3.24,0.252,880,0.78,0.22,35441,32.87,-87.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,henry,henry_AL,0.142,2430,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.198,0.233,1308000,3.15,0.196,700,0.86,0.14,36310,31.56,-85.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,houston,houston_AL,0.165,17160,1.3,SNAP,1.85,Other Nutrition Program,0.548,0.176,0.276,9296000,3.17,0.227,5560,0.73,0.27,36301,31.23,-85.4,0500000US01069,72149,2516,6824,23435,16052,7426,9858,6038,104346,100839,3507,104346,103396,950,39106,7997,9261,6669,8200,4345,1229,1405,103579,25228,24870,358,60493,51612,8881,17858,17798,60,104346,72703,27957,125,851,0,176,2534
2017,AL,jackson,jackson_AL,0.136,7130,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.123,0.229,3846000,3.16,0.233,2630,0.9,0.1,35740,34.94,-85.71,0500000US01071,36782,2015,4216,14382,7138,3801,3501,1729,51909,50352,1557,51909,50896,1013,20600,4729,5066,4115,4018,1972,374,326,51425,10959,10713,246,30777,25422,5355,9689,9689,0,51909,47710,2130,912,157,70,160,770
2017,AL,jefferson,jefferson_AL,0.178,117600,1.3,SNAP,1.85,Other Nutrition Program,0.51,0.148,0.342,62512000,3.11,0.208,31610,0.67,0.33,35005,33.59,-86.95,0500000US01073,448110,12605,32564,117906,95791,39882,92518,56844,659197,633607,25590,659197,641366,17831,259324,52295,53422,42205,52713,32286,12090,14313,652276,159323,152017,7306,394913,342633,52280,98040,97663,377,659197,340995,283700,1203,12201,321,11510,9267
2017,AL,lamar,lamar_AL,0.152,2140,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.188,0.199,1138000,3.12,0.254,780,0.92,0.08,35544,33.93,-88.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,lauderdale,lauderdale_AL,0.14,12950,1.3,SNAP,1.85,Other Nutrition Program,0.499,0.2,0.301,6293000,2.85,0.214,4010,0.81,0.19,35610,34.91,-87.27,0500000US01077,63925,1551,5880,23922,13408,3819,9599,5746,92538,90061,2477,92538,91592,946,38215,7258,10160,5739,9989,3150,876,1043,91578,19718,19134,584,54068,45566,8502,17792,17679,113,null,null,null,null,null,null,null,null
2017,AL,lawrence,lawrence_AL,0.134,4470,1.3,SNAP,1.85,Other Nutrition Program,0.523,0.185,0.293,2332000,3.06,0.206,1490,0.84,0.16,35618,34.66,-87.31,0500000US01079,22026,1003,3385,9470,3975,1308,1955,930,33049,32362,687,33049,32831,218,11331,2900,2566,1796,2454,1219,171,225,32621,8106,7858,248,19038,16292,2746,5477,5477,0,33049,25621,3670,2182,0,0,5,1571
2017,AL,lee,lee_AL,0.17,26560,1.3,SNAP,1.85,Other Nutrition Program,0.576,0.095,0.329,15672000,3.46,0.207,7010,0.7,0.31,36801,32.65,-85.37,0500000US01081,96835,2591,5457,24545,22683,9210,17387,14962,161604,155511,6093,161604,156613,4991,58555,11146,12195,8509,13624,8086,3029,1966,159847,39729,38374,1355,101581,91238,10343,18537,18537,0,161604,113361,35563,212,6452,0,502,5514
2017,AL,limestone,limestone_AL,0.122,11190,1.3,SNAP,1.85,Other Nutrition Program,0.484,0.139,0.377,5813000,3.04,0.196,4170,0.68,0.32,35611,34.78,-86.95,0500000US01083,65019,3014,5031,17657,14378,5926,13103,5910,94402,88665,5737,94402,93307,1095,32816,5715,6343,5133,7336,5096,1707,1486,91288,22007,21856,151,55191,47648,7543,14090,14090,0,94402,76611,12971,901,1677,149,1167,926
2017,AL,lowndes,lowndes_AL,0.264,2740,1.3,SNAP,1.85,Other Nutrition Program,0.663,0.174,0.164,1508000,3.22,0.294,700,0.77,0.24,36032,31.98,-86.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,macon,macon_AL,0.256,4950,1.3,SNAP,1.85,Other Nutrition Program,0.575,0.197,0.227,2671000,3.16,0.254,890,0.73,0.27,36031,32.29,-85.73,0500000US01087,13595,631,1539,4012,4309,636,1648,820,20652,20576,76,20652,20625,27,7901,2760,1862,1250,1112,480,228,209,20324,3214,3128,86,13730,12461,1269,3380,3380,0,null,null,null,null,null,null,null,null
2017,AL,madison,madison_AL,0.138,48830,1.3,SNAP,1.85,Other Nutrition Program,0.445,0.123,0.432,25710000,3.09,0.191,15080,0.6,0.4,35741,34.7,-86.46,0500000US01089,247593,6746,15086,50957,52584,19892,61973,40355,361046,343318,17728,361046,351445,9601,147892,24624,26103,20616,30473,27027,9932,9117,355634,84796,80503,4293,218280,191209,27071,52558,52265,293,361046,244908,87843,2357,10285,0,4498,11155
2017,AL,marengo,marengo_AL,0.22,4330,1.3,SNAP,1.85,Other Nutrition Program,0.631,0.204,0.165,2185000,2.96,0.248,1120,0.84,0.16,36732,32.5,-87.83,0500000US01091,13445,907,2293,4399,2468,931,1636,811,null,null,null,20409,20287,122,7108,2202,1671,1186,1228,606,158,57,20184,5346,5346,0,10244,9058,1186,4594,4594,0,null,null,null,null,null,null,null,null
2017,AL,marion,marion_AL,0.133,3990,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.186,0.245,2120000,3.11,0.223,1420,0.82,0.19,35543,34.26,-87.71,0500000US01093,21524,1385,2378,7391,4905,1549,1988,1928,29833,29253,580,29833,29355,478,12008,3198,3161,2511,1743,919,326,150,29446,6740,6583,157,16763,14505,2258,5943,5943,0,null,null,null,null,null,null,null,null
2017,AL,marshall,marshall_AL,0.122,11520,1.3,SNAP,1.85,Other Nutrition Program,0.648,0.13,0.222,5696000,2.9,0.231,5450,0.82,0.18,35016,34.32,-86.5,0500000US01095,62672,4948,7053,18530,14362,5355,8048,4376,95548,82249,13299,95548,89473,6075,34083,8714,8115,4940,6512,4179,560,1063,94754,24867,24181,686,54578,41393,13185,15309,15309,0,95548,88908,2140,670,687,149,1244,1750
2017,AL,mobile,mobile_AL,0.179,74120,1.3,SNAP,1.85,Other Nutrition Program,0.531,0.159,0.31,40045000,3.17,0.23,22750,0.71,0.3,36505,30.92,-88.02,0500000US01097,278255,9428,25578,98241,58441,22436,41144,22987,413955,402012,11943,413955,408051,5904,154683,37238,32040,25593,31531,18176,4833,5272,409996,103506,100113,3393,242471,202201,40270,64019,63406,613,413955,244012,147234,3410,7504,79,5038,6678
2017,AL,monroe,monroe_AL,0.241,5240,1.3,SNAP,1.85,Other Nutrition Program,0.68,0.141,0.179,2649000,2.96,0.279,1410,0.74,0.26,36425,31.73,-87.2,0500000US01099,17132,262,1753,9555,2231,1191,1336,804,24363,24220,143,null,null,null,7728,3107,1920,1036,1029,250,296,90,24125,5617,5359,258,14074,11493,2581,4434,4265,169,null,null,null,null,null,null,null,null
2017,AL,montgomery,montgomery_AL,0.207,47040,1.3,SNAP,1.85,Other Nutrition Program,0.554,0.149,0.297,25423000,3.17,0.224,12070,0.68,0.32,36013,32.3,-85.99,0500000US01101,150542,6663,14384,39880,29758,10607,29406,19844,226646,218788,7858,226646,218946,7700,88554,20376,18849,14645,18724,9888,3109,2963,221441,56384,55276,1108,132942,112991,19951,32115,31963,152,226646,82146,131468,311,6747,51,2034,3889
2017,AL,morgan,morgan_AL,0.129,15380,1.3,SNAP,1.85,Other Nutrition Program,0.519,0.171,0.31,7907000,3.01,0.211,5800,0.74,0.26,35601,34.57,-86.98,0500000US01103,82161,3877,7238,26868,19348,8488,11615,4727,118818,108967,9851,118818,115027,3791,45360,8267,11374,7336,9808,5468,1875,1232,116784,28282,27995,287,68283,58848,9435,20219,20219,0,118818,95425,15143,678,760,283,4294,2235
2017,AL,perry,perry_AL,0.286,2770,1.3,SNAP,1.85,Other Nutrition Program,0.761,0.126,0.113,1451000,3.07,0.329,710,0.81,0.19,36756,32.63,-87.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,AL,pickens,pickens_AL,0.189,3810,1.3,SNAP,1.85,Other Nutrition Program,0.627,0.139,0.234,2097000,3.22,0.242,1010,0.78,0.22,35442,33.12,-88.15,0500000US01107,14517,980,2124,5623,3463,491,1447,389,19119,18212,907,19119,18385,734,6705,1586,1395,1259,1479,764,55,167,17345,3748,3667,81,10044,8749,1295,3553,3553,0,null,null,null,null,null,null,null,null
2017,AL,pike,pike_AL,0.21,6980,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.151,0.262,4000000,3.36,0.245,1610,0.76,0.24,36005,31.81,-85.83,0500000US01109,19727,506,2999,7476,3251,974,2355,2166,33267,32998,269,33267,32743,524,9511,2074,2305,1604,2120,800,440,168,33090,7026,6863,163,21242,18600,2642,4822,4822,0,null,null,null,null,null,null,null,null
2017,AL,randolph,randolph_AL,0.153,3450,1.3,SNAP,1.85,Other Nutrition Program,0.583,0.154,0.263,1700000,2.89,0.23,1130,0.8,0.2,36263,33.46,-85.33,0500000US01111,15165,1208,2351,5563,3493,1453,398,699,22670,22534,136,22670,22622,48,8371,1782,1953,2013,1628,386,312,297,22407,5121,4708,413,13669,10485,3184,3617,3617,0,null,null,null,null,null,null,null,null
2017,AL,russell,russell_AL,0.192,11220,1.3,SNAP,1.85,Other Nutrition Program,0.569,0.175,0.256,5849000,3.05,0.223,3260,0.69,0.31,36851,32.13,-85.14,0500000US01113,37893,2414,4491,12125,8842,3300,4492,2229,57045,53957,3088,57045,56303,742,23931,7682,5606,4447,3660,1718,449,369,55810,15312,14855,457,32754,26697,6057,7744,7744,0,57045,26887,25466,138,276,0,2679,1599
